Frame_Index,leg_left_ankle_roll_joint,leg_left_ankle_pitch_joint,leg_left_knee_pitch_joint,leg_left_hip_pitch_joint,leg_left_hip_yaw_joint,leg_left_hip_roll_joint,leg_right_ankle_roll_joint,leg_right_ankle_pitch_joint,leg_right_knee_pitch_joint,leg_right_hip_pitch_joint,leg_right_hip_yaw_joint,leg_right_hip_roll_joint
0,0.0067,-0.51972,0.99551,-0.37633,-0.00518,-0.00424,0.0067,-0.52175,0.99967,-0.37845,-0.00519,-0.00425
1,0.00653,-0.51974,0.99557,-0.37636,-0.00506,-0.00414,0.00653,-0.52173,0.99963,-0.37843,-0.00506,-0.00414
2,0.00624,-0.51979,0.99566,-0.37641,-0.00483,-0.00395,0.00624,-0.52169,0.99954,-0.37839,-0.00483,-0.00396
3,0.00583,-0.51986,0.9958,-0.37648,-0.00451,-0.00369,0.00583,-0.52163,0.99943,-0.37833,-0.00452,-0.0037
4,0.00531,-0.51994,0.99598,-0.37657,-0.00411,-0.00336,0.00531,-0.52156,0.99928,-0.37825,-0.00411,-0.00337
5,0.00468,-0.52005,0.99619,-0.37667,-0.00362,-0.00297,0.00468,-0.52147,0.9991,-0.37816,-0.00363,-0.00297
6,0.00395,-0.52017,0.99643,-0.3768,-0.00306,-0.0025,0.00395,-0.52136,0.99889,-0.37805,-0.00306,-0.00251
7,0.00311,-0.5203,0.99671,-0.37693,-0.00241,-0.00197,0.00311,-0.52124,0.99864,-0.37792,-0.00241,-0.00198
8,0.00216,-0.52045,0.99701,-0.37709,-0.00168,-0.00137,0.00216,-0.52111,0.99836,-0.37777,-0.00168,-0.00138
9,0.00112,-0.52061,0.99734,-0.37726,-0.00087,-0.00071,0.00112,-0.52095,0.99804,-0.37761,-0.00087,-0.00071
10,-4e-05,-0.52079,0.99771,-0.37744,3e-05,3e-05,-4e-05,-0.52078,0.99769,-0.37743,3e-05,2e-05
11,-0.00138,-0.52099,0.99812,-0.37765,0.00107,0.00087,-0.00138,-0.52057,0.99727,-0.37722,0.00107,0.00087
12,-0.00278,-0.5212,0.99854,-0.37787,0.00215,0.00176,-0.00278,-0.52035,0.99682,-0.37699,0.00215,0.00176
13,-0.00431,-0.52142,0.99899,-0.3781,0.00334,0.00273,-0.00431,-0.52011,0.99632,-0.37673,0.00333,0.00272
14,-0.00598,-0.52165,0.99946,-0.37835,0.00463,0.00379,-0.00598,-0.51983,0.99576,-0.37645,0.00462,0.00378
15,-0.0078,-0.5219,0.99997,-0.37861,0.00603,0.00494,-0.0078,-0.51953,0.99513,-0.37614,0.00603,0.00493
16,-0.00978,-0.52216,1.0005,-0.37889,0.00757,0.0062,-0.00978,-0.51919,0.99444,-0.37579,0.00756,0.00619
17,-0.01194,-0.52244,1.00106,-0.37918,0.00924,0.00756,-0.01193,-0.51881,0.99366,-0.3754,0.00923,0.00755
18,-0.0143,-0.52273,1.00164,-0.37949,0.01106,0.00905,-0.01428,-0.51838,0.99278,-0.37497,0.01105,0.00904
19,-0.01686,-0.52303,1.00225,-0.37982,0.01305,0.01068,-0.01685,-0.5179,0.99179,-0.37448,0.01303,0.01066
