Frame_Index,leg_left_ankle_roll_joint,leg_left_ankle_pitch_joint,leg_left_knee_pitch_joint,leg_left_hip_pitch_joint,leg_left_hip_yaw_joint,leg_left_hip_roll_joint,leg_right_ankle_roll_joint,leg_right_ankle_pitch_joint,leg_right_knee_pitch_joint,leg_right_hip_pitch_joint,leg_right_hip_yaw_joint,leg_right_hip_roll_joint
0,0.00318692307692308,-0.520277692307692,0.996659230769231,-0.376912307692308,-0.00246769230769231,-0.00201846153846154,0.00318692307692308,-0.521245384615385,0.998643076923077,-0.377923076923077,-0.00247,-0.00202461538461538
1,0.00265142857142857,-0.520359285714286,0.996825714285714,-0.376997142857143,-0.00205285714285714,-0.00167928571428571,0.00265142857142857,-0.521164285714286,0.998477142857143,-0.377837857142857,-0.00205571428571429,-0.00168571428571429
2,0.002076,-0.520445333333333,0.997001333333333,-0.377087333333333,-0.00160733333333333,-0.00131466666666667,0.002076,-0.521075333333333,0.998296,-0.377745333333333,-0.00161066666666667,-0.00132133333333333
3,0.00145875,-0.52053625,0.997186875,-0.3771825,-0.00113,-0.00092375,0.00145875,-0.52097875,0.998098125,-0.377645,-0.001133125,-0.000930625
4,0.00079764705882353,-0.520631764705882,0.997381764705882,-0.377282941176471,-0.000618235294117647,-0.000504705882352941,0.00079764705882353,-0.520873529411765,0.997882941176471,-0.377535882352941,-0.000621764705882353,-0.000511764705882353
5,9.00000000000008e-05,-0.520732222222222,0.997586111111111,-0.377388333333333,-7.05555555555559e-05,-5.66666666666667e-05,9.05555555555563e-05,-0.520758888888889,0.997648333333333,-0.377417222222222,-7.44444444444444e-05,-6.3888888888889e-05
6,-0.000667368421052631,-0.520837368421053,0.997799473684211,-0.377498947368421,0.000515263157894737,0.000422631578947368,-0.00066578947368421,-0.520633684210526,0.997392105263158,-0.377288421052632,0.000511052631578947,0.000415263157894737
7,-0.001477,-0.520947,0.998022,-0.377615,0.001142,0.0009355,-0.001475,-0.520497,0.997112,-0.377148,0.001137,0.0009275
8,-0.00234285714285714,-0.521060952380952,0.998253333333333,-0.37773619047619,0.00181190476190476,0.00148380952380952,-0.00234,-0.520347619047619,0.996805714285714,-0.376994761904762,0.00180619047619048,0.00147523809523809
9,-0.00326909090909091,-0.521179090909091,0.998492727272728,-0.377862272727273,0.00252863636363636,0.00207045454545455,-0.003265,-0.520184090909091,0.99647,-0.376827727272727,0.00252181818181818,0.00206090909090909
10,-0.0042595652173913,-0.521301304347826,0.998739565217391,-0.377993478260869,0.00329521739130435,0.00269782608695652,-0.00425391304347826,-0.520004782608696,0.996101739130435,-0.376644782608696,0.00328695652173913,0.00268739130434783
11,-0.0053275,-0.5214275,0.998994583333333,-0.37813,0.00412166666666667,0.00337416666666667,-0.00531958333333333,-0.51980625,0.995693333333333,-0.376442916666667,0.00411166666666667,0.0033625
12,-0.00647,-0.5215568,0.9992548,-0.3782708,0.0050056,0.004098,-0.0064596,-0.5195876,0.9952432,-0.3762212,0.004994,0.0040848
13,-0.0082688,-0.5217668,0.9996788,-0.3784984,0.0063972,0.0052376,-0.0082548,-0.5192504,0.9945492,-0.3758784,0.0063832,0.005222
14,-0.0102524,-0.521988,1.0001232,-0.3787396,0.0079324,0.0064944,-0.010234,-0.5188672,0.99376,-0.37549,0.0079148,0.0064756
15,-0.012434,-0.522218,1.0005844,-0.3789932,0.0096204,0.0078768,-0.01241,-0.5184316,0.9928632,-0.3750504,0.0095984,0.0078544
16,-0.0148288,-0.522454,1.001056,-0.3792568,0.0114732,0.0093944,-0.0147976,-0.5179368,0.9918424,-0.3745524,0.011446,0.0093676
17,-0.017454,-0.5226932,1.0015312,-0.379528,0.013504,0.011058,-0.0174136,-0.5173736,0.99068,-0.373988,0.01347,0.0110256
18,-0.0203272,-0.5229312,1.0020012,-0.379804,0.0157264,0.0128796,-0.0202756,-0.5167324,0.9893548,-0.3733472,0.0156844,0.01284
19,-0.023454,-0.5231636,1.002456,-0.3800796,0.0181452,0.014862,-0.0233892,-0.5160064,0.9878516,-0.3726236,0.0180928,0.014814
20,-0.0268152,-0.52341,1.0029372,-0.3803788,0.0207452,0.0169936,-0.0267336,-0.5151984,0.9861792,-0.3718232,0.02068,0.0169352
21,-0.0303924,-0.5241852,1.0045384,-0.3812792,0.0235124,0.0192628,-0.0302736,-0.5143608,0.9844876,-0.371042,0.0234184,0.0191808
22,-0.0341732,-0.5260056,1.008358,-0.3833636,0.0264364,0.0216616,-0.033974,-0.5135544,0.98294,-0.3703828,0.0262804,0.0215284
23,-0.03814,-0.529138,1.0149644,-0.386934,0.029504,0.0241788,-0.0377992,-0.5128224,0.9816464,-0.3699116,0.0292388,0.0239556
24,-0.0422664,-0.5336356,1.0244732,-0.3920528,0.0326948,0.0267984,-0.041712,-0.512192,0.9806656,-0.369658,0.0322644,0.0264388
25,-0.0465224,-0.5393788,1.0366344,-0.3985876,0.0359856,0.0295004,-0.0456796,-0.51167,0.9800024,-0.3696188,0.0353324,0.0289568
26,-0.0508624,-0.5461044,1.05089,-0.4062424,0.0393408,0.0322564,-0.0496664,-0.5112448,0.979612,-0.3697596,0.0384152,0.031488
27,-0.0552272,-0.5534188,1.0664028,-0.4145704,0.0427152,0.0350288,-0.053636,-0.5108856,0.9794,-0.3700156,0.0414848,0.034008
28,-0.0595464,-0.5608388,1.0821412,-0.42302,0.0460544,0.0377724,-0.0575504,-0.510546,0.9792372,-0.3703012,0.0445116,0.0364936
29,-0.063774,-0.5682492,1.0978604,-0.4314584,0.0493224,0.0404576,-0.0613744,-0.5102244,0.9791112,-0.3706048,0.0474684,0.0389216
30,-0.0678712,-0.5756512,1.1135628,-0.439886,0.05249,0.0430604,-0.0650728,-0.5099336,0.9790484,-0.3709388,0.0503276,0.0412696
31,-0.0717988,-0.583046,1.1292516,-0.448302,0.0555264,0.0455556,-0.0686084,-0.509686,0.9790756,-0.3713148,0.0530612,0.0435144
32,-0.075516,-0.5904344,1.1449284,-0.456706,0.0584,0.0479168,-0.0719436,-0.5094948,0.9792196,-0.3717456,0.05564,0.045632
33,-0.07898,-0.5978172,1.1605956,-0.4650976,0.0610784,0.0501172,-0.0750388,-0.5093728,0.9795072,-0.372244,0.0580336,0.0475972
34,-0.082146,-0.6051944,1.176254,-0.4734756,0.063526,0.0521276,-0.0778524,-0.5093332,0.979966,-0.372822,0.0602092,0.0493836
35,-0.0849596,-0.6124532,1.1916624,-0.4817096,0.0657012,0.0539144,-0.0803396,-0.5093752,0.9805864,-0.3734704,0.0621328,0.0509624
36,-0.0873212,-0.6190676,1.2057,-0.489202,0.0675272,0.0554136,-0.0824308,-0.509456,0.981242,-0.3741024,0.06375,0.0522896
37,-0.0891668,-0.6246072,1.2174516,-0.4954656,0.0689544,0.0565848,-0.0840764,-0.5095424,0.981832,-0.3746496,0.0650228,0.053334
38,-0.0904372,-0.6287916,1.2263236,-0.5001872,0.0699368,0.0573908,-0.0852184,-0.5096248,0.9823148,-0.3750792,0.065906,0.0540588
39,-0.0910816,-0.6315072,1.2320792,-0.5032432,0.0704348,0.0577996,-0.0857948,-0.509716,0.982706,-0.3753936,0.0663516,0.0544248
40,-0.0910512,-0.6328456,1.2349152,-0.5047404,0.0704112,0.05778,-0.0857396,-0.5098488,0.9830788,-0.3756328,0.0663088,0.05439
41,-0.0902992,-0.6331524,1.2355692,-0.5050712,0.0698296,0.0573032,-0.0849872,-0.510072,0.9835616,-0.3758764,0.0657268,0.0539128
42,-0.0887856,-0.6330644,1.2353928,-0.5049524,0.0686588,0.0563436,-0.0834816,-0.510448,0.9843328,-0.3762412,0.064562,0.052958
43,-0.08647,-0.632912,1.2350884,-0.5047572,0.066868,0.0548756,-0.0811772,-0.5110056,0.9854776,-0.3767856,0.0627792,0.0514968
44,-0.0833328,-0.6326824,1.2346288,-0.5044732,0.0644412,0.0528864,-0.0780532,-0.511738,0.986982,-0.3775044,0.0603628,0.0495164
45,-0.079392,-0.63234,1.2339368,-0.5040624,0.0613928,0.0503876,-0.0741284,-0.5126268,0.988804,-0.3783768,0.0573264,0.0470276
46,-0.0746768,-0.6313564,1.2318904,-0.502934,0.0577452,0.0473976,-0.069448,-0.5136028,0.9907584,-0.3792916,0.0537056,0.0440596
47,-0.0692236,-0.629206,1.2273704,-0.5004968,0.0535272,0.0439392,-0.0640708,-0.5145904,0.9926492,-0.3801308,0.049546,0.0406492
48,-0.0630848,-0.6256184,1.2197992,-0.496446,0.0487792,0.0400452,-0.0580664,-0.5155324,0.9943364,-0.3808148,0.0449016,0.0368408
49,-0.0563292,-0.6205576,1.209112,-0.4907528,0.0435544,0.0357592,-0.0515096,-0.516578,0.9961376,-0.3815148,0.0398304,0.0326816
