Frame_Index,leg_left_ankle_roll_joint,leg_left_ankle_pitch_joint,leg_left_knee_pitch_joint,leg_left_hip_pitch_joint,leg_left_hip_yaw_joint,leg_left_hip_roll_joint,leg_right_ankle_roll_joint,leg_right_ankle_pitch_joint,leg_right_knee_pitch_joint,leg_right_hip_pitch_joint,leg_right_hip_yaw_joint,leg_right_hip_roll_joint
0,0.00674,-0.51971,0.99549,-0.37632,-0.00522,-0.00427,0.00674,-0.52176,0.99968,-0.37846,-0.00522,-0.00428
1,0.00669,-0.51972,0.99551,-0.37633,-0.00518,-0.00424,0.00669,-0.52175,0.99967,-0.37845,-0.00518,-0.00425
2,0.00659,-0.51973,0.99554,-0.37635,-0.0051,-0.00418,0.00659,-0.52174,0.99964,-0.37844,-0.00511,-0.00418
3,0.00644,-0.51976,0.9956,-0.37637,-0.00499,-0.00408,0.00644,-0.52172,0.9996,-0.37841,-0.00499,-0.00409
4,0.00625,-0.51979,0.99566,-0.37641,-0.00483,-0.00396,0.00625,-0.52169,0.99955,-0.37839,-0.00484,-0.00396
5,0.006,-0.51983,0.99575,-0.37645,-0.00465,-0.0038,0.006,-0.52165,0.99948,-0.37835,-0.00465,-0.00381
6,0.00572,-0.51988,0.99584,-0.3765,-0.00443,-0.00362,0.00572,-0.52162,0.9994,-0.37831,-0.00443,-0.00363
7,0.00539,-0.51993,0.99595,-0.37655,-0.00417,-0.00341,0.00539,-0.52157,0.9993,-0.37826,-0.00417,-0.00342
8,0.00502,-0.51999,0.99608,-0.37662,-0.00388,-0.00318,0.00502,-0.52152,0.9992,-0.37821,-0.00389,-0.00318
9,0.0046,-0.52006,0.99622,-0.37669,-0.00356,-0.00292,0.0046,-0.52146,0.99908,-0.37814,-0.00356,-0.00292
10,0.00414,-0.52013,0.99637,-0.37676,-0.00321,-0.00262,0.00414,-0.52139,0.99894,-0.37807,-0.00321,-0.00263
11,0.00361,-0.52022,0.99654,-0.37685,-0.00279,-0.00229,0.00361,-0.52132,0.99879,-0.37799,-0.0028,-0.00229
12,0.00305,-0.52031,0.99673,-0.37694,-0.00236,-0.00193,0.00305,-0.52124,0.99862,-0.37791,-0.00236,-0.00194
13,0.00244,-0.52041,0.99692,-0.37704,-0.00189,-0.00155,0.00244,-0.52115,0.99844,-0.37782,-0.00189,-0.00155
14,0.00177,-0.52051,0.99714,-0.37715,-0.00137,-0.00112,0.00177,-0.52105,0.99824,-0.37771,-0.00137,-0.00113
